ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
461859,Female,Yes,46,No,Artist,5.0,Low,5.0,Cat_6,C
460523,Female,No,48,Yes,Entertainment,1.0,Low,,Cat_4,C
459528,Female,Yes,52,Yes,Doctor,0.0,Average,2.0,Cat_6,C
467915,Female,No,23,No,Doctor,0.0,Low,4.0,Cat_6,C
465560,Male,Yes,60,Yes,Entertainment,1.0,Average,5.0,Cat_3,B
464186,Female,Yes,39,Yes,Artist,5.0,Average,2.0,Cat_6,C
467307,Male,Yes,57,Yes,Executive,1.0,High,3.0,Cat_6,C
466330,Male,No,29,No,Doctor,0.0,Low,3.0,Cat_3,C
460418,Female,No,35,Yes,Entertainment,9.0,Low,2.0,Cat_6,A
461165,Male,Yes,28,No,Artist,1.0,Average,2.0,Cat_3,A
462049,Male,Yes,39,Yes,Artist,14.0,Average,2.0,Cat_6,B
464026,Male,No,18,No,Healthcare,1.0,Low,2.0,Cat_6,D
464971,Female,Yes,36,No,Engineer,1.0,Low,5.0,Cat_4,A
466797,Female,No,23,No,Healthcare,1.0,Low,4.0,Cat_6,D
465325,Female,Yes,50,Yes,Artist,4.0,Low,2.0,Cat_6,B
466477,Male,Yes,36,Yes,Artist,,Average,2.0,,C
467856,Male,Yes,59,Yes,Artist,1.0,Low,2.0,Cat_6,A
460362,Male,Yes,59,Yes,Healthcare,0.0,Low,3.0,Cat_4,D
460827,Male,Yes,81,Yes,Lawyer,9.0,Low,1.0,Cat_6,D
462795,Male,No,25,No,Entertainment,13.0,Low,3.0,Cat_6,A
464496,Female,Yes,41,No,Marketing,1.0,High,5.0,Cat_3,A
467450,Male,Yes,81,No,Executive,9.0,High,2.0,Cat_6,C
462511,Female,Yes,66,Yes,Lawyer,1.0,High,2.0,Cat_6,C
466271,Male,No,33,No,Entertainment,1.0,Low,3.0,Cat_2,B
460634,Female,No,39,No,Entertainment,,Low,6.0,Cat_3,D
467264,Male,Yes,19,No,Marketing,2.0,High,5.0,Cat_6,C
463285,Male,Yes,31,No,Marketing,,Low,4.0,Cat_3,D
465842,Female,No,36,Yes,Entertainment,10.0,Low,2.0,Cat_6,A
461326,Female,No,36,Yes,Artist,1.0,Low,1.0,Cat_6,C
462942,Female,No,33,Yes,Entertainment,0.0,Low,4.0,Cat_4,A
459805,Female,Yes,45,No,Artist,4.0,Average,4.0,Cat_6,B
459086,Female,No,28,No,Healthcare,1.0,Low,2.0,Cat_6,B
465318,Male,No,21,No,Doctor,6.0,Low,6.0,Cat_7,C
462513,Male,No,26,Yes,Artist,,Low,4.0,Cat_4,A
459057,Male,Yes,68,No,Lawyer,,High,,Cat_6,D
467257,Male,No,22,No,Healthcare,10.0,Low,4.0,Cat_6,D
462970,Male,Yes,28,No,Doctor,0.0,Average,2.0,Cat_6,D
462187,Female,No,50,Yes,Artist,4.0,Low,1.0,Cat_6,C
464507,Male,Yes,53,Yes,Artist,0.0,High,3.0,Cat_6,C
466891,Female,Yes,53,No,Homemaker,9.0,Low,1.0,Cat_6,A
461783,Male,,72,,Lawyer,0.0,High,,Cat_6,A
459483,Male,Yes,55,Yes,Artist,1.0,Average,2.0,Cat_7,A
461545,Female,Yes,70,Yes,Artist,1.0,Low,3.0,Cat_7,B
465390,Female,No,27,Yes,Marketing,3.0,Low,3.0,Cat_6,D
463025,Male,Yes,40,No,Executive,7.0,Low,4.0,Cat_6,A
464241,Female,Yes,89,,Artist,1.0,High,2.0,Cat_6,C
465265,Female,Yes,56,Yes,Artist,2.0,Average,2.0,Cat_6,B
467480,Male,Yes,35,Yes,Artist,,Average,,Cat_6,D
464511,Male,Yes,52,Yes,Marketing,1.0,Low,3.0,Cat_3,D
466160,Female,Yes,51,Yes,Engineer,1.0,Average,2.0,Cat_6,C
462909,Female,No,36,No,Engineer,,Low,1.0,Cat_6,A
459375,Male,Yes,18,No,Executive,0.0,High,4.0,Cat_6,A
461537,Male,No,31,Yes,Artist,0.0,Low,1.0,Cat_6,B
459793,Male,Yes,40,Yes,Artist,0.0,High,,Cat_6,A
461494,Male,Yes,33,No,Engineer,0.0,Average,2.0,Cat_6,B
462023,Female,Yes,46,No,Engineer,8.0,Low,1.0,Cat_6,A
467802,Female,Yes,47,Yes,Artist,0.0,High,5.0,Cat_6,C
460424,Female,No,35,No,Entertainment,0.0,Low,1.0,Cat_6,A
461256,Male,No,33,No,Doctor,1.0,Low,4.0,Cat_4,C
463156,Female,Yes,79,No,Lawyer,,High,2.0,Cat_6,A
459517,Male,No,31,Yes,Healthcare,1.0,Low,4.0,Cat_6,D
463536,Male,Yes,89,Yes,Executive,,High,2.0,Cat_6,C
465449,Female,No,43,Yes,Artist,9.0,Low,2.0,Cat_6,B
464981,Male,Yes,45,Yes,Artist,0.0,Average,4.0,Cat_6,C
463087,Female,Yes,35,Yes,Homemaker,9.0,Average,2.0,Cat_4,B
462580,Female,No,39,Yes,Artist,0.0,Low,1.0,Cat_4,B
465665,Female,Yes,83,Yes,Lawyer,1.0,Low,1.0,Cat_6,A
465270,Female,Yes,43,Yes,Artist,0.0,Average,4.0,Cat_6,C
467902,Female,No,37,No,Artist,,Low,1.0,Cat_6,A
461321,Male,Yes,50,Yes,Artist,13.0,Low,1.0,Cat_6,C
467607,Female,No,25,No,Engineer,9.0,Low,1.0,Cat_6,D
463194,Female,Yes,48,Yes,Artist,0.0,Average,2.0,Cat_3,B
462181,Female,No,32,Yes,Healthcare,8.0,Low,3.0,Cat_6,C
466335,Female,No,28,No,Healthcare,0.0,Low,3.0,Cat_4,B
462273,Female,No,41,Yes,Entertainment,1.0,Low,,Cat_6,D
462386,Female,No,26,Yes,Healthcare,1.0,Low,5.0,Cat_6,B
465548,Female,No,40,Yes,Artist,0.0,Low,4.0,Cat_3,A
461213,Female,No,31,Yes,Healthcare,1.0,Low,4.0,Cat_6,A
463616,Female,Yes,48,No,Engineer,1.0,Average,5.0,Cat_3,B
460483,Female,,38,Yes,Executive,0.0,High,1.0,Cat_3,D
466536,Male,No,20,No,Healthcare,4.0,Low,4.0,Cat_4,D
467941,Female,No,27,Yes,Doctor,1.0,Low,3.0,Cat_6,A
459220,Female,Yes,77,Yes,Lawyer,1.0,High,2.0,Cat_6,A
460397,Female,No,59,Yes,Entertainment,1.0,Low,1.0,Cat_6,A
463037,Male,Yes,57,Yes,Entertainment,1.0,Average,4.0,Cat_6,B
466776,Male,Yes,86,Yes,Lawyer,0.0,Low,1.0,Cat_6,B
461412,Female,Yes,41,Yes,Artist,5.0,High,3.0,Cat_5,B
464136,Male,Yes,69,Yes,Artist,0.0,Average,3.0,Cat_6,A
464300,Male,Yes,42,Yes,Artist,0.0,Low,3.0,Cat_4,A
465207,Male,Yes,49,Yes,Artist,0.0,Average,2.0,Cat_6,C
467040,Male,No,32,Yes,Doctor,0.0,Low,4.0,Cat_3,D
459027,Male,Yes,67,Yes,Doctor,1.0,Average,4.0,Cat_6,B
463826,Female,No,28,Yes,Healthcare,5.0,Low,,Cat_6,D
464258,Female,Yes,88,No,Lawyer,0.0,High,2.0,Cat_6,B
467886,Female,Yes,46,Yes,Artist,0.0,Low,2.0,Cat_6,C
459491,Female,Yes,39,Yes,Artist,1.0,Average,4.0,Cat_6,C
466118,Female,Yes,36,No,Engineer,1.0,Low,3.0,Cat_4,A
462664,Male,Yes,69,No,Artist,2.0,Low,2.0,Cat_6,A
463242,Female,No,26,No,Engineer,5.0,Low,2.0,Cat_6,A
461485,Male,Yes,59,No,Engineer,1.0,Average,3.0,Cat_6,C
460581,Male,Yes,27,Yes,Healthcare,2.0,Average,2.0,Cat_3,A
467911,Male,Yes,61,Yes,Healthcare,1.0,Low,4.0,Cat_6,D
465206,Male,Yes,47,Yes,Artist,13.0,Low,1.0,Cat_6,C
467478,Female,Yes,39,Yes,Artist,0.0,Average,4.0,Cat_6,C
464993,Male,Yes,57,No,Executive,4.0,High,4.0,Cat_6,C
466236,Female,Yes,69,Yes,Engineer,0.0,Low,2.0,Cat_4,B
464814,Male,Yes,53,Yes,Artist,0.0,High,7.0,Cat_4,D
465535,Female,No,29,No,Entertainment,9.0,Low,,Cat_2,A
459749,Male,Yes,59,Yes,Entertainment,,Low,4.0,Cat_4,A
467873,Female,Yes,36,Yes,Artist,1.0,Average,2.0,Cat_6,C
462488,Male,No,33,Yes,Healthcare,0.0,Low,5.0,Cat_6,D
465030,Male,Yes,35,Yes,Executive,9.0,High,4.0,Cat_6,C
467063,Male,Yes,53,Yes,Entertainment,1.0,Average,2.0,Cat_6,B
463062,Female,Yes,37,Yes,Artist,,Average,3.0,Cat_6,B
459459,Male,Yes,36,Yes,Artist,4.0,Low,1.0,Cat_6,A
466359,Male,No,22,No,Healthcare,0.0,Low,4.0,Cat_6,D
462523,Male,Yes,57,No,Doctor,4.0,Low,3.0,Cat_4,B
460391,Male,Yes,21,No,Entertainment,0.0,Low,3.0,Cat_6,D
461243,Male,Yes,49,Yes,Marketing,0.0,Low,5.0,Cat_6,D
460151,Male,Yes,35,Yes,Artist,3.0,Average,2.0,Cat_6,C
460471,Female,No,18,No,,0.0,Low,6.0,Cat_4,D
467679,Female,Yes,51,Yes,Artist,,Average,4.0,Cat_2,C
465456,Female,Yes,59,Yes,Artist,3.0,High,5.0,Cat_1,B
463288,Female,,59,Yes,Artist,9.0,Average,2.0,Cat_6,C
461927,Male,No,25,No,Healthcare,1.0,Low,4.0,Cat_2,C
467770,Female,Yes,48,Yes,Artist,9.0,High,4.0,Cat_3,C
462924,Female,Yes,31,No,Homemaker,8.0,Average,2.0,Cat_6,D
464303,Male,Yes,43,No,Artist,0.0,Average,2.0,Cat_3,B
